EmployeeNo,Last_performance_score,No_of_previous_employers,Targets_met,Training_score_average,Trainings_Attended,Age_recurited,Years_in_company,Channel_of_Recruitment_Agency and others,Channel_of_Recruitment_Direct Internal process,Channel_of_Recruitment_Referral and Special candidates,Division_Business Finance Operations,Division_Commercial Sales and Marketing,Division_Customer Support and Field Operations,Division_Information Technology and Solution Support,Division_Information and Strategy,Division_People/HR Management,Division_Regulatory and Legal services,Division_Research and Innovation,Division_Sourcing and Purchasing,Foreign_schooled_No,Foreign_schooled_Yes,Gender_Female,Gender_Male,Marital_Status_Married,Marital_Status_Not_Sure,Marital_Status_Single,Previous_Award_0,Previous_Award_1,Previous_IntraDepartmental_Movement_No,Previous_IntraDepartmental_Movement_Yes,Qualification_First Degree or HND,"Qualification_MSc, MBA and PhD",Qualification_Non-University Education,Qualification_something_here,Past_Disciplinary_Action_No,Past_Disciplinary_Action_Yes,zone_NC,zone_NE,zone_NW,zone_SE,zone_SS,zone_SW
38323,YAK/S/00038,12.5,1,0,3.6888794541139363,2,3.58351893845611,1.3862943611198906,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
38324,YAK/S/00040,12.5,1,1,3.784189633918261,2,3.258096538021482,1.9459101490553132,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
38325,YAK/S/00041,7.5,1,0,4.290459441148391,2,3.1354942159291497,2.3978952727983707,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
38326,YAK/S/00043,10.0,1,1,3.8066624897703196,2,3.4657359027997265,3.295836866004329,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
38327,YAK/S/00045,12.5,1,0,4.394449154672439,2,3.4339872044851463,2.5649493574615367,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
38328,YAK/S/00047,10.0,1,0,4.1588830833596715,2,3.4657359027997265,1.6094379124341003,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
38329,YAK/S/00049,7.5,2,1,3.7376696182833684,2,3.258096538021482,1.3862943611198906,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
38330,YAK/S/00050,7.5,0,0,4.189654742026425,2,3.7612001156935624,2.5649493574615367,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
38331,YAK/S/00051,10.0,0,1,3.970291913552122,2,2.833213344056216,1.0986122886681096,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
38332,YAK/S/00058,7.5,1,1,4.343805421853684,2,3.5263605246161616,1.791759469228055,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
38333,YAK/S/00060,10.0,1,0,3.8066624897703196,2,3.4657359027997265,2.0794415416798357,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
38334,YAK/S/00063,0.0,0,1,4.290459441148391,2,3.258096538021482,0.6931471805599453,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
38335,YAK/S/00067,0.0,2,1,3.9318256327243257,2,3.2188758248682006,0.6931471805599453,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0
38336,YAK/S/00069,10.0,1,1,4.219507705176107,2,3.1354942159291497,1.9459101490553132,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
38337,YAK/S/00072,12.5,0,1,4.2626798770413155,2,3.258096538021482,2.0794415416798357,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
38338,YAK/S/00080,7.5,0,0,3.9318256327243257,2,3.258096538021482,1.3862943611198906,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
38339,YAK/S/00083,7.5,1,0,3.828641396489095,3,3.091042453358316,1.0986122886681096,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0
38340,YAK/S/00084,10.0,1,0,4.31748811353631,2,3.295836866004329,2.1972245773362196,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
38341,YAK/S/00088,2.5,1,0,3.7376696182833684,2,3.367295829986474,2.302585092994046,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
38342,YAK/S/00092,7.5,5,0,4.356708826689592,2,3.2188758248682006,2.1972245773362196,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
38343,YAK/S/00096,10.0,0,1,4.3694478524670215,2,3.258096538021482,1.6094379124341003,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
38344,YAK/S/00099,7.5,1,1,3.8066624897703196,2,3.332204510175204,2.5649493574615367,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
38345,YAK/S/00101,12.5,5,1,4.02535169073515,2,3.258096538021482,1.6094379124341003,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
38346,YAK/S/00104,12.5,1,1,3.8501476017100584,2,3.4339872044851463,2.1972245773362196,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
38347,YAK/S/00111,10.0,3,0,3.7376696182833684,4,3.258096538021482,1.0986122886681096,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
38348,YAK/S/00114,7.5,1,1,4.418840607796598,2,3.6109179126442243,1.0986122886681096,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
38349,YAK/S/00119,10.0,1,1,4.174387269895637,2,3.091042453358316,1.6094379124341003,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
38350,YAK/S/00132,12.5,0,1,4.0943445622221,3,3.1354942159291497,1.6094379124341003,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
38351,YAK/S/00137,7.5,0,1,4.2626798770413155,2,3.091042453358316,1.6094379124341003,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
38352,YAK/S/00146,7.5,1,0,3.784189633918261,2,3.258096538021482,1.0986122886681096,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
38353,YAK/S/00149,2.5,1,0,4.174387269895637,2,3.1354942159291497,1.6094379124341003,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
38354,YAK/S/00151,7.5,1,0,3.713572066704308,2,3.295836866004329,2.302585092994046,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
38355,YAK/S/00152,12.5,0,0,4.394449154672439,3,3.2188758248682006,2.1972245773362196,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
38356,YAK/S/00157,7.5,0,0,4.02535169073515,2,3.2188758248682006,1.3862943611198906,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
38357,YAK/S/00163,2.5,1,0,3.713572066704308,2,3.367295829986474,1.6094379124341003,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
38358,YAK/S/00164,12.5,0,1,4.143134726391533,2,3.367295829986474,2.0794415416798357,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
38359,YAK/S/00171,12.5,3,1,3.9889840465642745,2,3.091042453358316,1.9459101490553132,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
38360,YAK/S/00174,7.5,1,0,4.143134726391533,3,3.2188758248682006,2.302585092994046,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
38361,YAK/S/00178,5.0,0,0,3.912023005428146,2,3.4011973816621555,2.5649493574615367,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
38362,YAK/S/00179,0.0,0,0,3.9889840465642745,2,3.044522437723423,0.6931471805599453,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
38363,YAK/S/00187,7.5,1,0,3.912023005428146,3,3.1354942159291497,1.9459101490553132,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
38364,YAK/S/00191,12.5,1,0,3.784189633918261,2,3.4965075614664802,2.0794415416798357,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
38365,YAK/S/00195,10.0,1,0,4.060443010546419,2,3.4339872044851463,1.3862943611198906,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
38366,YAK/S/00197,2.5,1,0,4.304065093204169,2,3.2188758248682006,1.3862943611198906,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
38367,YAK/S/00204,12.5,0,0,3.8918202981106265,2,3.2188758248682006,1.6094379124341003,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
38368,YAK/S/00205,10.0,0,0,4.007333185232471,2,3.332204510175204,1.0986122886681096,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
38369,YAK/S/00208,2.5,0,0,4.2626798770413155,2,3.58351893845611,1.3862943611198906,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
38370,YAK/S/00213,2.5,1,0,4.290459441148391,2,2.995732273553991,1.6094379124341003,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
38371,YAK/S/00216,12.5,2,1,4.304065093204169,3,3.1354942159291497,1.9459101490553132,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
38372,YAK/S/00218,10.0,2,0,4.3694478524670215,2,3.1780538303479458,2.1972245773362196,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
38373,YAK/S/00219,7.5,0,1,4.290459441148391,2,3.2188758248682006,1.6094379124341003,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
38374,YAK/S/00228,7.5,3,1,3.9512437185814275,2,3.713572066704308,2.1972245773362196,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
38375,YAK/S/00235,7.5,2,1,4.3694478524670215,3,3.784189633918261,2.302585092994046,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
38376,YAK/S/00240,7.5,0,1,3.970291913552122,3,3.4011973816621555,2.0794415416798357,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1
38377,YAK/S/00242,5.0,3,0,3.8066624897703196,4,3.091042453358316,1.3862943611198906,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
38378,YAK/S/00246,0.0,1,1,4.23410650459726,2,3.1354942159291497,0.6931471805599453,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
38379,YAK/S/00247,10.0,0,0,4.31748811353631,2,3.1354942159291497,1.0986122886681096,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
38380,YAK/S/00252,12.5,0,1,4.0943445622221,2,3.2188758248682006,2.1972245773362196,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
38381,YAK/S/00253,7.5,5,1,4.174387269895637,2,3.295836866004329,1.791759469228055,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
38382,YAK/S/00254,12.5,5,1,4.2626798770413155,2,3.2188758248682006,1.3862943611198906,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
38383,YAK/S/00261,2.5,1,0,3.4657359027997265,2,3.2188758248682006,2.1972245773362196,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
38384,YAK/S/00263,2.5,0,0,3.8501476017100584,2,3.332204510175204,1.791759469228055,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
38385,YAK/S/00264,10.0,1,0,4.02535169073515,2,3.58351893845611,1.6094379124341003,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
38386,YAK/S/00266,10.0,1,0,3.9889840465642745,2,3.367295829986474,1.3862943611198906,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
38387,YAK/S/00267,10.0,5,1,3.713572066704308,2,3.5553480614894135,1.791759469228055,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
38388,YAK/S/00268,7.5,0,0,3.912023005428146,4,3.258096538021482,2.4849066497880004,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
38389,YAK/S/00269,10.0,1,0,4.07753744390572,3,3.4011973816621555,3.1780538303479458,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
38390,YAK/S/00276,10.0,0,0,4.07753744390572,2,3.4011973816621555,2.0794415416798357,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
38391,YAK/S/00279,7.5,0,0,4.382026634673881,2,3.1780538303479458,2.0794415416798357,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
38392,YAK/S/00280,10.0,1,0,4.2626798770413155,2,3.1780538303479458,1.6094379124341003,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
38393,YAK/S/00284,12.5,1,1,3.9318256327243257,2,3.2188758248682006,1.9459101490553132,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
38394,YAK/S/00289,2.5,0,0,4.290459441148391,3,3.332204510175204,1.3862943611198906,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
38395,YAK/S/00291,12.5,0,0,3.713572066704308,3,3.367295829986474,2.70805020110221,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
38396,YAK/S/00299,10.0,0,0,3.7612001156935624,2,3.6635616461296463,1.791759469228055,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
38397,YAK/S/00301,5.0,0,0,3.9512437185814275,2,3.1354942159291497,1.6094379124341003,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
38398,YAK/S/00303,5.0,1,0,4.127134385045092,2,3.1780538303479458,1.0986122886681096,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
38399,YAK/S/00308,2.5,1,0,4.143134726391533,2,3.784189633918261,2.639057329615259,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
38400,YAK/S/00311,12.5,0,0,4.007333185232471,2,3.2188758248682006,1.9459101490553132,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
38401,YAK/S/00319,7.5,0,0,3.9889840465642745,2,3.1354942159291497,1.0986122886681096,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
38402,YAK/S/00324,12.5,2,0,4.007333185232471,2,2.9444389791664403,1.0986122886681096,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
38403,YAK/S/00325,12.5,1,1,4.110873864173311,3,3.1354942159291497,1.0986122886681096,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
38404,YAK/S/00326,10.0,0,1,4.290459441148391,2,3.1354942159291497,2.0794415416798357,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
38405,YAK/S/00329,12.5,0,0,3.713572066704308,2,3.295836866004329,2.1972245773362196,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
38406,YAK/S/00331,10.0,1,0,3.784189633918261,2,3.4657359027997265,2.302585092994046,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
38407,YAK/S/00332,7.5,1,0,3.713572066704308,2,3.1780538303479458,1.3862943611198906,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
38408,YAK/S/00339,12.5,2,1,4.31748811353631,2,3.258096538021482,1.6094379124341003,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
38409,YAK/S/00340,10.0,5,0,3.8501476017100584,2,3.4339872044851463,1.791759469228055,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
38410,YAK/S/00342,12.5,1,1,3.970291913552122,2,3.1354942159291497,1.0986122886681096,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
38411,YAK/S/00356,5.0,0,0,3.713572066704308,2,3.258096538021482,2.1972245773362196,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
38412,YAK/S/00358,7.5,0,0,3.970291913552122,2,3.295836866004329,1.791759469228055,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
38413,YAK/S/00363,7.5,1,0,4.02535169073515,3,3.258096538021482,1.6094379124341003,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
38414,YAK/S/00364,7.5,1,0,4.127134385045092,2,3.1354942159291497,2.1972245773362196,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
38415,YAK/S/00367,12.5,1,1,3.912023005428146,3,3.4657359027997265,1.6094379124341003,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
38416,YAK/S/00370,7.5,1,0,4.290459441148391,2,3.295836866004329,1.6094379124341003,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
38417,YAK/S/00376,12.5,6,1,3.9512437185814275,2,3.1354942159291497,2.0794415416798357,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
38418,YAK/S/00379,7.5,0,0,4.174387269895637,2,3.4965075614664802,1.9459101490553132,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
38419,YAK/S/00380,12.5,1,1,4.04305126783455,2,3.4339872044851463,1.791759469228055,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
38420,YAK/S/00383,7.5,5,0,3.828641396489095,2,3.7612001156935624,2.639057329615259,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
38421,YAK/S/00390,0.0,0,1,4.330733340286331,4,3.332204510175204,0.6931471805599453,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
